     iface	 ch	 irq	               numa0	               numa1
  enp2s0f0	  0	  68	                   1	                   -
  enp2s0f0	  1	  69	                   2	                   -
  enp2s0f0	  2	  70	                   3	                   -
  enp2s0f0	  3	  71	                   4	                   -
  enp2s0f0	  4	  74	                   5	                   -
  enp2s0f0	  5	  75	                   6	                   -
  enp2s0f0	  6	  76	                   7	                   -
  enp2s0f0	  7	  77	                   8	                   -
  enp2s0f0	  8	  78	                   9	                   -
  enp2s0f0	  9	  79	                   -	                  10
  enp2s0f0	 10	  80	                   -	                  11
  enp2s0f0	 11	  81	                   -	                  12
  enp2s0f0	 12	  82	                   -	                  13
  enp2s0f0	 13	  83	                   -	                  14
  enp2s0f0	 14	  84	                   -	                  15
  enp2s0f0	 15	  85	                   -	                  16
  enp2s0f0	 16	  86	                   -	                  17
  enp2s0f0	 17	  87	                   -	                  18
  enp2s0f0	 18	  88	                   -	                  19
  enp2s0f0	 19	  89	                  20	                   -
  enp2s0f0	 20	  90	                  21	                   -
  enp2s0f0	 21	  91	                  22	                   -
  enp2s0f0	 22	  92	                  23	                   -
  enp2s0f0	 23	  93	                  24	                   -
  enp2s0f0	 24	  94	                  25	                   -
  enp2s0f0	 25	  95	                  26	                   -
  enp2s0f0	 26	  96	                  27	                   -
  enp2s0f0	 27	  97	                  28	                   -
  enp2s0f0	 28	  98	                  29	                   -
  enp2s0f0	 29	  99	                   -	                  30
  enp2s0f0	 30	 100	                   -	                  31
  enp2s0f0	 31	 101	                   -	                  32
  enp2s0f0	 32	 102	                   -	                  33
  enp2s0f0	 33	 103	                   -	                  34
  enp2s0f0	 34	 104	                   -	                  35
  enp2s0f0	 35	 105	                   -	                  36
  enp2s0f0	 36	 106	                   -	                  37
  enp2s0f0	 37	 107	                   -	                  38
  enp2s0f0	 38	 108	                   -	                  39
  enp2s0f0	 39	 109	                   -	                   -
  enp2s0f1	  0	 112	                   1	                   -
  enp2s0f1	  1	 113	                   2	                   -
  enp2s0f1	  2	 114	                   3	                   -
  enp2s0f1	  3	 115	                   4	                   -
  enp2s0f1	  4	 116	                   5	                   -
  enp2s0f1	  5	 117	                   6	                   -
  enp2s0f1	  6	 118	                   7	                   -
  enp2s0f1	  7	 119	                   8	                   -
  enp2s0f1	  8	 120	                   9	                   -
  enp2s0f1	  9	 121	                   -	                  10
  enp2s0f1	 10	 122	                   -	                  11
  enp2s0f1	 11	 123	                   -	                  12
  enp2s0f1	 12	 124	                   -	                  13
  enp2s0f1	 13	 125	                   -	                  14
  enp2s0f1	 14	 126	                   -	                  15
  enp2s0f1	 15	 127	                   -	                  16
  enp2s0f1	 16	 128	                   -	                  17
  enp2s0f1	 17	 129	                   -	                  18
  enp2s0f1	 18	 130	                   -	                  19
  enp2s0f1	 19	 131	                  20	                   -
  enp2s0f1	 20	 132	                  21	                   -
  enp2s0f1	 21	 133	                  22	                   -
  enp2s0f1	 22	 134	                  23	                   -
  enp2s0f1	 23	 135	                  24	                   -
  enp2s0f1	 24	 136	                  25	                   -
  enp2s0f1	 25	 137	                  26	                   -
  enp2s0f1	 26	 138	                  27	                   -
  enp2s0f1	 27	 139	                  28	                   -
  enp2s0f1	 28	 140	                  29	                   -
  enp2s0f1	 29	 141	                   -	                  30
  enp2s0f1	 30	 142	                   -	                  31
  enp2s0f1	 31	 143	                   -	                  32
  enp2s0f1	 32	 144	                   -	                  33
  enp2s0f1	 33	 145	                   -	                  34
  enp2s0f1	 34	 146	                   -	                  35
  enp2s0f1	 35	 147	                   -	                  36
  enp2s0f1	 36	 148	                   -	                  37
  enp2s0f1	 37	 149	                   -	                  38
  enp2s0f1	 38	 150	                   -	                  39
  enp2s0f1	 39	 151	                   -	                   -
