     iface	 ch	 irq	               numa0	               numa1
  enp2s0f0	  0	  68	                   0	                   -
  enp2s0f0	  1	  69	                   1	                   -
  enp2s0f0	  2	  70	                   2	                   -
  enp2s0f0	  3	  71	                   3	                   -
  enp2s0f0	  4	  74	                   4	                   -
  enp2s0f0	  5	  75	                   5	                   -
  enp2s0f0	  6	  76	                   6	                   -
  enp2s0f0	  7	  77	                   7	                   -
  enp2s0f0	  8	  78	                   8	                   -
  enp2s0f0	  9	  79	                   9	                   -
  enp2s0f0	 10	  80	                   -	                  10
  enp2s0f0	 11	  81	                   -	                  11
  enp2s0f0	 12	  82	                   -	                  12
  enp2s0f0	 13	  83	                   -	                  13
  enp2s0f0	 14	  84	                   -	                  14
  enp2s0f0	 15	  85	                   -	                  15
  enp2s0f0	 16	  86	                   -	                  16
  enp2s0f0	 17	  87	                   -	                  17
  enp2s0f0	 18	  88	                   -	                  18
  enp2s0f0	 19	  89	                   -	                  19
  enp2s0f0	 20	  90	                  20	                   -
  enp2s0f0	 21	  91	                  21	                   -
  enp2s0f0	 22	  92	                  22	                   -
  enp2s0f0	 23	  93	                  23	                   -
  enp2s0f0	 24	  94	                  24	                   -
  enp2s0f0	 25	  95	                  25	                   -
  enp2s0f0	 26	  96	                  26	                   -
  enp2s0f0	 27	  97	                  27	                   -
  enp2s0f0	 28	  98	                  28	                   -
  enp2s0f0	 29	  99	                  29	                   -
  enp2s0f0	 30	 100	                   -	                  30
  enp2s0f0	 31	 101	                   -	                  31
  enp2s0f0	 32	 102	                   -	                  32
  enp2s0f0	 33	 103	                   -	                  33
  enp2s0f0	 34	 104	                   -	                  34
  enp2s0f0	 35	 105	                   -	                  35
  enp2s0f0	 36	 106	                   -	                  36
  enp2s0f0	 37	 107	                   -	                  37
  enp2s0f0	 38	 108	                   -	                  38
  enp2s0f0	 39	 109	                   -	                  39
  enp2s0f1	  0	 112	                   0	                   -
  enp2s0f1	  1	 113	                   1	                   -
  enp2s0f1	  2	 114	                   2	                   -
  enp2s0f1	  3	 115	                   3	                   -
  enp2s0f1	  4	 116	                   4	                   -
  enp2s0f1	  5	 117	                   5	                   -
  enp2s0f1	  6	 118	                   6	                   -
  enp2s0f1	  7	 119	                   7	                   -
  enp2s0f1	  8	 120	                   8	                   -
  enp2s0f1	  9	 121	                   9	                   -
  enp2s0f1	 10	 122	                   -	                  10
  enp2s0f1	 11	 123	                   -	                  11
  enp2s0f1	 12	 124	                   -	                  12
  enp2s0f1	 13	 125	                   -	                  13
  enp2s0f1	 14	 126	                   -	                  14
  enp2s0f1	 15	 127	                   -	                  15
  enp2s0f1	 16	 128	                   -	                  16
  enp2s0f1	 17	 129	                   -	                  17
  enp2s0f1	 18	 130	                   -	                  18
  enp2s0f1	 19	 131	                   -	                  19
  enp2s0f1	 20	 132	                  20	                   -
  enp2s0f1	 21	 133	                  21	                   -
  enp2s0f1	 22	 134	                  22	                   -
  enp2s0f1	 23	 135	                  23	                   -
  enp2s0f1	 24	 136	                  24	                   -
  enp2s0f1	 25	 137	                  25	                   -
  enp2s0f1	 26	 138	                  26	                   -
  enp2s0f1	 27	 139	                  27	                   -
  enp2s0f1	 28	 140	                  28	                   -
  enp2s0f1	 29	 141	                  29	                   -
  enp2s0f1	 30	 142	                   -	                  30
  enp2s0f1	 31	 143	                   -	                  31
  enp2s0f1	 32	 144	                   -	                  32
  enp2s0f1	 33	 145	                   -	                  33
  enp2s0f1	 34	 146	                   -	                  34
  enp2s0f1	 35	 147	                   -	                  35
  enp2s0f1	 36	 148	                   -	                  36
  enp2s0f1	 37	 149	                   -	                  37
  enp2s0f1	 38	 150	                   -	                  38
  enp2s0f1	 39	 151	                   -	                  39
