     iface	 ch	               numa0	               numa1
  enp2s0f0	  0	                   0	                   -
  enp2s0f0	  1	                   1	                   -
  enp2s0f0	  2	                   2	                   -
  enp2s0f0	  3	                   3	                   -
  enp2s0f0	  4	                   4	                   -
  enp2s0f0	  5	                   5	                   -
  enp2s0f0	  6	                   6	                   -
  enp2s0f0	  7	                   7	                   -
  enp2s0f0	  8	                   8	                   -
  enp2s0f0	  9	                   9	                   -
  enp2s0f0	 10	                   -	                  10
  enp2s0f0	 11	                   -	                  11
  enp2s0f0	 12	                   -	                  12
  enp2s0f0	 13	                   -	                  13
  enp2s0f0	 14	                   -	                  14
  enp2s0f0	 15	                   -	                  15
  enp2s0f0	 16	                   -	                  16
  enp2s0f0	 17	                   -	                  17
  enp2s0f0	 18	                   -	                  18
  enp2s0f0	 19	                   -	                  19
  enp2s0f0	 20	                  20	                   -
  enp2s0f0	 21	                  21	                   -
  enp2s0f0	 22	                  22	                   -
  enp2s0f0	 23	                  23	                   -
  enp2s0f0	 24	                  24	                   -
  enp2s0f0	 25	                  25	                   -
  enp2s0f0	 26	                  26	                   -
  enp2s0f0	 27	                  27	                   -
  enp2s0f0	 28	                  28	                   -
  enp2s0f0	 29	                  29	                   -
  enp2s0f0	 30	                   -	                  30
  enp2s0f0	 31	                   -	                  31
  enp2s0f0	 32	                   -	                  32
  enp2s0f0	 33	                   -	                  33
  enp2s0f0	 34	                   -	                  34
  enp2s0f0	 35	                   -	                  35
  enp2s0f0	 36	                   -	                  36
  enp2s0f0	 37	                   -	                  37
  enp2s0f0	 38	                   -	                  38
  enp2s0f0	 39	                   -	                  39
  enp2s0f1	  0	                   0	                   -
  enp2s0f1	  1	                   1	                   -
  enp2s0f1	  2	                   2	                   -
  enp2s0f1	  3	                   3	                   -
  enp2s0f1	  4	                   4	                   -
  enp2s0f1	  5	                   5	                   -
  enp2s0f1	  6	                   6	                   -
  enp2s0f1	  7	                   7	                   -
  enp2s0f1	  8	                   8	                   -
  enp2s0f1	  9	                   9	                   -
  enp2s0f1	 10	                   -	                  10
  enp2s0f1	 11	                   -	                  11
  enp2s0f1	 12	                   -	                  12
  enp2s0f1	 13	                   -	                  13
  enp2s0f1	 14	                   -	                  14
  enp2s0f1	 15	                   -	                  15
  enp2s0f1	 16	                   -	                  16
  enp2s0f1	 17	                   -	                  17
  enp2s0f1	 18	                   -	                  18
  enp2s0f1	 19	                   -	                  19
  enp2s0f1	 20	                  20	                   -
  enp2s0f1	 21	                  21	                   -
  enp2s0f1	 22	                  22	                   -
  enp2s0f1	 23	                  23	                   -
  enp2s0f1	 24	                  24	                   -
  enp2s0f1	 25	                  25	                   -
  enp2s0f1	 26	                  26	                   -
  enp2s0f1	 27	                  27	                   -
  enp2s0f1	 28	                  28	                   -
  enp2s0f1	 29	                  29	                   -
  enp2s0f1	 30	                   -	                  30
  enp2s0f1	 31	                   -	                  31
  enp2s0f1	 32	                   -	                  32
  enp2s0f1	 33	                   -	                  33
  enp2s0f1	 34	                   -	                  34
  enp2s0f1	 35	                   -	                  35
  enp2s0f1	 36	                   -	                  36
  enp2s0f1	 37	                   -	                  37
  enp2s0f1	 38	                   -	                  38
  enp2s0f1	 39	                   -	                  39
